ser,date,text,label
71,8/10/2020 16:06,My life was on the line ' Pastor AR COVID19 the controversial drug saved his life i,positive
72,8/14/2020 2:36,No one working at can tell me why it still ,neutral
73,8/2/2020 20:14,Up At a Dangerous Pace ' 19 Million New Covid in US in A grim sign lost it is gripUSACovid19GOP,negative
74,8/6/2020 15:12,Real life horror from the world of pandemic motherhood ' infertility COVID19,negative
75,7/27/2020 3:03,Shut it down now ' US health call for 2nd shutdown ABC7NY,negative
76,8/1/2020 17:38,The virus beat us ' are increasingly going for fall 2020 semester as COVID19 rise,negative
77,8/18/2020 18:05,This Is Us ' creator Dan some insight on what to expect COVID19,positive
78,8/1/2020 18:16,Tidal Wave ' Of Power As Nation With Heat covid19,negative
79,8/18/2020 16:48,Unprecedented demand ' for remains the norm in the US with of of new COVID19,negative
80,8/13/2020 7:38,Why I stopped my ' news trump COVID19,negative
81,8/4/2020 3:40,911 + 911 + 911 + 911 + 911 + 911 + 911 + 911 + 911 + 911 Thats a 911 for every state in the nation COVID19,negative
82,7/25/2020 0:14,1 A tech executive was taken into custody today and with fraudulently seeking over $ 55 million,negative
83,8/2/2020 21:23,1 The authorized the first 2 COVID19 serology that display an quantity of present,positive
84,7/31/2020 19:03,1 dying every minute COVID19,negative
85,7/25/2020 1:48,1 Dont care how sound this game tonight was for me at this moment so much more than baseball I,neutral
86,7/31/2020 17:24,1 I conclude ' s Kremlin they could hack the vote in key and,negative
87,7/25/2020 8:42,1 I have been in contact with of COVID19 in over the past few days I am few n,negative
88,8/29/2020 20:07,1 If I were to start a of series March Confused But feeling hopeful we c,neutral
89,8/2/2020 18:19,1 Just want to reflect on the fact that in made the incredibly difficult decision to cut and,negative
90,8/16/2020 2:19,1 13F 2Q20 Big of $ 7 % new $ 5 % new $ 5 % new $ 2 % $ 2 % new,negative
91,8/8/2020 11:27,1 Some on Most people still dont understand the term and concept of,neutral
92,7/31/2020 17:24,1 This is a good demonstration of how even a falsehood that been thoroughly can spread across social,positive
93,8/10/2020 16:00,1 in 3 Would Not Get COVID19 Vaccine Or as put it Ever,positive
94,7/26/2020 5:07,1 in 3 small won ' t survive pandemic business economy leadership,negative
95,8/4/2020 7:39,1 in 5 Are Unlikely to Return to This Fall Education COVID19 pandemic,positive
96,8/2/2020 21:44,1 new death was today for a total of 948 71 % of all COVID19 have,negative
97,8/1/2020 16:56,1 of 2 WHY ' t we how 2 meet ALL the + basic needs of every child WITHOUT,neutral
98,8/14/2020 4:16,1 person a minute are dying in the COVID19,negative
99,7/25/2020 3:47,1 person every 8minutes is the rate of death from Covid19 in Will be next ? Or maybe,negative
100,8/8/2020 14:08,1 staff and 12 test for Covid in ' t address the,negative
101,8/22/2020 8:06,1 2 gall bladder hydrops 3 4 5 COVID19 6 appendicitis 7 small bowel,neutral
102,8/16/2020 2:29,1 tweet to 1 $ when make it viral datascience4all,neutral
103,8/10/2020 15:33,100 have to quarantine after a teacher and some test POSITIVE FOR COVID19 But c,negative
104,8/6/2020 15:43,100 People infected by 1 person in that to wear a mask to Church ! Even divine intervention cannot save,negative
105,8/9/2020 7:48,100 days and no COVID19 in New ! The slang ' ' is a sign almost an involuntary exclamation,negative
106,8/9/2020 7:57,100 days and no COVID19 in New ! ! Sweet As is a real beauty of Kiwi lingo Its versatile and can,positive
107,8/18/2020 18:07,100 ago today the 19thAmendment was giving the right to vote Last year I SB30,neutral
108,8/7/2020 12:54,100 % FAILURE on COVID19 given to governor ; ! ALL tested POSITIVE then ALL,negative
109,7/25/2020 3:01,100 % respect not saying other should opt out but if other people throughout the world had this,positive
110,7/31/2020 19:19,100 + physician told they strongly the sunset of scope of practice and,neutral
111,8/10/2020 16:12,1000 COVID19 a day 60000 new COVID19 a day 160000 already dead 5 million Ame,negative
112,7/27/2020 1:45,1000 APEX 100Days twitch new,neutral
113,8/29/2020 22:19,1000 have tested positive for COVID19 at University of,negative
114,8/1/2020 18:41,10000 more child per month around the world due to COVID related in production supply chain is,negative
115,7/28/2020 5:47,10000 more are dying from starvation this year than last ; their are linked to the COVID19,negative
116,7/25/2020 12:08,10000 + have been infected with COVID19WHO ' s on the need for member ; partner,negative
117,8/8/2020 12:52,10080 new COVID19 in today The total number of at 217040 85,negative
118,8/4/2020 6:23,100m initially and a further 20m in So all that talk about huge transfer no,negative
119,8/13/2020 9:20,102 day streak broken COVID19 is back in and they are on starting next How did,negative
120,7/31/2020 19:03,103 Reps onto ; ' s letter supporting in the next,neutral
121,7/27/2020 6:43,105 New York COVID Face License Suspension COVID19 News,negative
122,8/7/2020 12:59,105 out of 110 ; 1000 people some show are less likely to be a in,neutral
123,8/6/2020 14:50,1050 am Senate President Pro of is speaking about the next relief pa,neutral
124,8/30/2020 8:31,10GOP of Violence are an attempt at Deflection The real is COVID19 that Trump,negative
125,8/16/2020 2:47,10TampaBay COVID19 and trump golf and a rally at his club instead of being by his side,neutral
126,8/22/2020 7:15,10TrumpCampaign It really me to see these of ! We,neutral
127,8/6/2020 15:04,10am update 93402 confirmed COVID19 in ++ 1626 more than ++ 3380 in County 23,negative
128,7/31/2020 18:16,11 Reach Warning Level ' for Health Guess what these were all the,neutral
129,7/27/2020 1:59,11 days and counting as I wait for COVID19,negative
130,7/25/2020 1:20,11 days since my latest COVID19 test and still no,negative
131,8/22/2020 5:29,12 The 38yearold salesman from China an important role not widely known until now in a,positive
132,8/14/2020 2:13,12 You telling every signal who deceased since this fake pandemic was due to COVID19 ? No one p,negative
133,7/28/2020 4:21,12 As of today 28th tragically there ' s still no national Covid19 policy Since people do not learn,negative
134,7/31/2020 17:55,12 As we continue to stop the spread of COVID19 our team with the,positive
135,7/31/2020 17:03,12 and other debt are still coming after facing financial dire,negative
136,7/31/2020 17:45,12 No one the toll COVID19 would take on our Thats why should not b,neutral
137,7/29/2020 16:03,12 of the times Some care about their and being safe Rowdy Beaver Eureka S,positive
138,7/25/2020 8:42,12 The blatant depiction of such as credible local health in the COVID response by intern,negative
139,8/18/2020 17:08,12 YOU said it How dare a celebrity like Stone have the audacity to,negative
140,8/6/2020 15:40,12 mil applied 4 unemployment last 1k per day R dying ; per mil population R among the worst in the,negative
141,7/29/2020 16:22,120 from US 78 Future Lone Arrive in,neutral
142,8/6/2020 15:37,12000 new jobless in last month and that is an improvement Were going to need a Brand New,negative
143,7/29/2020 16:24,1224 of is speaking about the COVID19 and it is impact on rural Am,negative
144,8/6/2020 16:35,1235 of is speaking about the next relief package COVID19,positive
145,7/29/2020 16:06,13 ways for and to exercise in harmony during covid 19 social by KristenSadler18,positive
146,7/27/2020 6:00,130 police contracted Covid19 from ' ,negative
147,7/27/2020 5:45,14 Now Open To Domestic The minister said that inspection had been on,neutral
148,8/1/2020 17:43,14 Hey We did it ! We tied the record ! 7 straight days of over 1000 new COVID19 per day,negative
149,7/28/2020 4:26,140000 have not from COVID19 They from natural + COVID19 GOLD,negative
150,7/25/2020 1:22,140000 + are dead from COVID19 and still trying to blame everything on that black guy who was,negative
151,7/25/2020 11:57,144000 + dead in the US from COVID19 and not down Thanks,negative
152,7/26/2020 4:03,146460 confirmed covid19 in the United so far,negative
153,7/28/2020 4:18,148201 confirmed covid19 in the United so far,negative
154,8/6/2020 16:31,15 billion for a new building should not be included in the Covid relief bill under negotiation COVID19,neutral
155,7/29/2020 16:07,150000 COVID19 US not untold of ancillary and In less than 6 m,negative
156,7/25/2020 0:08,150000 US dead by next week 700000 dead soon after that Just horrific COVID19,negative
157,7/25/2020 1:37,150000 dead From COVID19 and 50 Million unemployed He does not want you t,negative
158,7/25/2020 2:14,150000 dead Because Trump and his to do what is necessary to keep safe from COVID19,negative
159,7/31/2020 18:18,150000 family and in in 2020 due to COVID19 We must all do two 1,positive
160,7/30/2020 20:09,152k and counting COVID19,negative
161,8/22/2020 2:01,156000 and counting Only the among us ' t see through the hypocrisy If,negative
162,8/1/2020 18:40,157278 US from covid and is on the golf course and more worried about,negative
163,8/18/2020 17:29,16 In conclusion WANT police reform and support and other This,neutral
164,7/29/2020 16:26,16 for student loan with ' s new repayment proposal in COVID19 stimulus plan,positive
165,8/10/2020 16:00,160k + DEAD ! COVID19,negative
166,7/25/2020 2:53,165N THREAD Top10AlbumChallenge day 117 yesterday my 126th favorite album The,neutral
167,8/14/2020 3:28,167097 confirmed covid19 in the United so far,negative
168,7/25/2020 3:13,167N THREAD Top10AlbumChallenge day 118 my 127th favorite album by,neutral
169,7/27/2020 1:53,168N THREAD Top10AlbumChallenge day 119 yesterday my 128th favorite album Crazy Ey,neutral
170,8/16/2020 4:14,169475 confirmed covid19 in the United so far,negative
171,7/27/2020 2:13,169N THREAD Top10AlbumChallenge day 120 129th favorite album by,neutral
172,7/29/2020 16:05,17 Daily COVID19 update from our 5 academic 1772 SARSCoV2 positive admitted to date in,negative
173,7/31/2020 18:13,17 Daily COVID19 update from our 5 academic 1820 SARSCoV2 positive admitted to date in,negative
174,8/6/2020 16:17,17 Daily COVID19 update from our 5 academic 1940 SARSCoV2 positive admitted to date in,negative
175,8/18/2020 16:14,17 Daily COVID19 update from our 5 academic 2219 SARSCoV2 positive admitted to date in,negative
176,7/25/2020 1:08,17 with 1000 + new confirmed COVID today 22 900 + pandemic,negative
177,7/26/2020 2:20,17 in a room ONE wore a mask This is why we are losing the battle with COVID19,positive
178,8/13/2020 7:03,17 of personal protective equipment provided by WHO have in The will help pro,positive
179,8/16/2020 4:33,170000 die of COVID19 and brother and Trump and T,negative
180,8/16/2020 5:01,170000 dead and a brother golf nice ! COVID19,negative
181,8/18/2020 16:12,170000 plus COVID19 under the leadership of Trump NOW we know,negative
182,8/18/2020 16:00,170k + DEAD ! COVID19,negative
183,8/16/2020 5:38,172606 of Covid19 1071 death in the last 24 53523 new !! I want to scream ,negative
184,8/22/2020 2:44,175000 dead and Trump golf Tonight we for them in,negative
185,8/22/2020 4:28,175350 confirmed covid19 in the United so far,negative
186,8/14/2020 3:07,1776Stonewall Fact check this under the age of 16 have a better chance to die from flu,positive
187,8/22/2020 2:40,179200 death 50455 new 1170 last 24 21 2020 !!! Why is the media quiet ???? Covid19,negative
188,7/28/2020 5:50,18 ; infectious disease with national credibility advised the COVID19,negative
189,8/30/2020 3:53,182752 confirmed covid19 in the United so far 963 were lost in the past day one life every,negative
190,8/9/2020 3:32,186N THREAD Top10AlbumChallenge day 133 my 142nd favorite album at Birth,neutral
191,8/6/2020 15:30,19 Dead Due to Virus at Nursing on 236 new,negative
192,8/1/2020 17:03,1916985 new COVID19 in That is MORE THAN DOUBLE ANY PREVIOUS MONTH We should expect approximately 6,negative
193,8/17/2020 5:22,1918 Flu newspaper clipping early Twitter ? COVID19,negative
194,8/17/2020 5:21,1918 Flu pandemic not a lot COVID19,negative
195,8/2/2020 18:50,195 days since the first COVID19 case in the US and we still dont have a national testing strategy,negative
196,8/8/2020 13:41,1972patriot A therapeutic will help Those in high risk cat,positive
197,8/18/2020 16:07,19yearold ' ' Bailey been fighting for his life for the last two after the,positive
198,7/26/2020 6:32,1Europe hit 3 million of COVID19 2 what it it is first case of the,negative
199,7/29/2020 16:08,1Marketplace Good perspective from COVID19,neutral
200,7/28/2020 4:38,1integrativemd Democrat purposefully,neutral
201,8/16/2020 5:35,1st we start all remote Once we go hybrid or tho were screwed We dont get to use u,neutral
202,8/1/2020 15:55,1st week COVID19,negative
203,8/14/2020 2:39,1stDayAsAContactTracerDebriefing 1 Holy cow there are a lot of new 2 Stay at home if you can but,positive
204,8/8/2020 13:11,1x I just want to air some had lately about COVID19 This pandemic is literally a life e,negative
205,8/29/2020 20:09,2 May Disbelief Are we done yet ? June Relieved Thank goodness virtual learning is over for now,positive
206,8/2/2020 21:23,2 Both from the Centaur COV2G and COV2G are what are known as semiquantitative t,negative
207,8/2/2020 19:07,2 Last week ; 450000 new COVID19 were ID ' nationwide with in 42 of,negative
208,7/30/2020 20:22,2 election primary amid concern that COVID19 would spread among analysis of M,neutral
209,8/4/2020 3:33,2 Best insight can be severe enough to kill millions but are often mild enough to allow in,negative
210,8/14/2020 2:14,2 County crossed the 800death threshold with 13 new COVID19 The county also,negative
211,8/11/2020 7:13,2 even speculate that the economy might not bounce back in and the same way post COVID19,negative
212,8/2/2020 18:23,2 Here in bitch about wearing a mask in public because personal are being,negative
213,8/16/2020 3:23,2 I would like to amplify ' s about the great forward that and public,neutral
214,8/11/2020 8:51,2 I ' into this too I did of media in 2013 and 2018,neutral
215,8/17/2020 4:18,2 Capital 13F 2Q20 Big of only $ ; 1 %; NASH $ ; 1 ,negative
216,8/6/2020 15:11,2 Important that not only teach you some basic immunology but also will help all the recent,positive
217,7/29/2020 16:05,2 In most North a claimant who is to work ; to go back typically i,positive
218,8/30/2020 7:14,2 agree And it is not violation because are not covered defined by For,neutral
219,8/1/2020 18:31,2 million covid in just the month of are getting much worse LOCK DOWN THE COUNTRY !! Before more,negative
220,8/10/2020 15:40,2 to evaluate the impact of in with COVID19 were retracted due to about the d,negative
221,7/27/2020 3:03,2 people in one family dead ! Covid19,negative
222,7/31/2020 17:03,2 for test positive for Covid19 game ; 2 in,negative
223,8/14/2020 5:52,2019 illness thread Flu 165 million 490500 34100 With a vaccine,negative
224,8/9/2020 3:32,2020 Oil on canvas painting art COVID19 painting,positive
225,8/6/2020 16:18,2020 on the,neutral
226,7/27/2020 3:01,2020 in a nutshell COVID19,neutral
227,7/27/2020 2:36,2020 is an I said what I said kind of year !! COVID19 Quarantine pandemic,negative
228,8/12/2020 6:49,2020 is the FIRST year that I REALLY want to leave in the past just skip the rest of the damn year in it is,neutral
229,8/6/2020 15:00,2020 job 185 million up 212 % from the 592556 at this time last trump,negative
230,8/17/2020 5:02,2020 look wear mask stay safe wash your 2020 COVID19,positive
231,8/12/2020 5:14,2020 will always be the year of ' t that some ! Keep hope alive ! COVID19,positive
232,8/10/2020 15:14,2020BlueTexas Arrest and bail for at massive Rally should require they we,neutral
233,8/22/2020 1:43,208N THREAD Top10AlbumChallenge day 146 155th favorite album In Cauda by,neutral
234,7/31/2020 17:00,21000 took our survey on the of Most said they ' had trouble getting tested for,negative
235,7/28/2020 6:10,212 in 24 Ministry If we have 200 + daily Covid19 we ' re,negative
236,7/26/2020 6:30,21st Century Leadership Digital to Help Manage the COVID19 Global,positive
237,8/22/2020 5:29,22 He the sole patient with the virus here for five passing most of that time in,negative
238,7/31/2020 18:30,22 and must include and proposal to freeze negative re,positive
239,7/29/2020 16:03,22 of the times Other hand you an excuse and invite you and their to risk health and l,negative
240,8/2/2020 19:46,22 where COVID19 is spreading 30th to lie to us Why ,negative
241,7/30/2020 20:10,22 new under 5 with COVID19,negative
242,7/25/2020 1:35,23 have from COVID19 in the last three days Not once out anything regarding,negative
243,7/30/2020 20:17,23 We know not to take the bait We know that over 150000 have from COVID19 that the,negative
244,8/1/2020 17:43,24 And also to all you government that of public health really should be by re,positive
245,8/6/2020 16:27,24 Based on current evidence and COVID19 in our we cannot safely send our to school,negative
246,7/27/2020 5:32,24 Virus through school after is suspended covid19,negative
247,8/7/2020 13:00,247 COVID19 call homelessness health equality,negative
248,7/25/2020 5:09,25 after spent July4th out on the water with her she ; her 3 test positive,negative
249,8/7/2020 13:03,25 + US have declared bankruptcy this year business that this could lead to a second wave of b,negative
250,8/8/2020 12:53,250000 people are the bike rally No No social and the 60 % of people in St,negative
251,8/2/2020 19:51,260 infected in days at single camp COVID19 COVID19Transmission,negative
252,7/31/2020 18:31,260 and staff more than of those tested contracted COVID19 less than a week after,negative
253,7/29/2020 16:05,27 77 SARSCoV2 positive are in one of our Intensive Care Unit is Note the rest of these are,negative
254,7/31/2020 18:13,27 82 SARSCoV2 positive are in one of our Intensive Care Unit is Note the rest of these are,negative
255,8/10/2020 15:34,27 % of college especially those from out of state also worry finding housing for the fall semester As s,negative
256,7/26/2020 4:19,27YearOld Reporter Battle with COVID19,positive
257,7/25/2020 1:41,2977 people in 911 to 7000 people dying of COVID19 in one day to,negative
258,8/6/2020 15:21,2Daze Decision Deadline For Fall Sports Title ; Purse to $ 53M COVID19 Protocol,positive
259,7/25/2020 1:23,2Uit Best Antique and Store 1229 West State Street desk New ,neutral
260,8/6/2020 15:37,2X South is still the epicenter County was slightly down before test site closure,negative
261,8/1/2020 17:50,2nd Biggest Scientific Blunder of 2020 right behind the myth that the SARSCoV2 pathogen is primarily spread by,negative
262,8/2/2020 21:23,3 They do not display a precise measurement but estimate the quantity of a produced against,neutral
263,7/30/2020 20:22,3 which limited voting ; to ensure safety of the polling open on election day Two,positive
264,8/29/2020 20:10,3 Pass me the wine Rinse and Repeat It is ground hog day To be continued COVID19,neutral
265,7/29/2020 15:59,3 COVID19 the instability of the supply chain and the need for investment in backup covid19,positive
266,7/27/2020 6:26,3 Dog did not know which were COVID19 infected Dog include Dutch Shepherd Lab Retriever,negative
267,7/25/2020 2:52,3 also admit is that aerosol transmission could be a potential dominant pathway for COVID19,positive
268,7/25/2020 11:25,3 I am this will distract you from my massive medical when it comes to covid19 so you ' vote for,positive
269,7/25/2020 0:05,3 New of have been Confirmed in County total now 76 COVID19,negative
270,8/6/2020 16:32,3 Tech to Help Service Reopen and Recover by covid19,positive
271,8/14/2020 1:53,3 elementary have suddenly retired The SAU9 superintendent me their to,neutral
272,7/27/2020 7:06,3 men a San bus driver for telling them to wear or get off the bus What the,neutral
273,8/6/2020 15:09,3 new in Big Horn a woman in her 40s Per they are approaching 400 total,neutral
274,8/2/2020 20:00,3 simple can protect you your and your from COVID19 practice physical,positive
275,8/10/2020 16:20,3 to stop the spread of COVID19 Stay 6 + away from Wear a Wash your,positive
276,8/18/2020 18:14,30 of the White CARE Act COVID19,positive
277,7/29/2020 16:02,300000 people could starve to death every day if COVID19 global food supply,negative
278,7/31/2020 18:27,31JUL2020 Response to NEWS ' Short Attack COVID19,negative
279,8/22/2020 4:19,31yearold a wife her third child battle to,neutral
280,8/8/2020 13:00,32 % of aged 65 and older fear more than COVID19 heart and even cancer Th,negative
281,8/9/2020 4:10,33 TIME saying what the science so far is this young may be less likely to get sick from,negative
282,7/28/2020 2:57,33 This report confirmed that the Trump COVID19 policy is really an election strategy 2 rid red,negative
283,8/6/2020 16:27,34 Today I mourn the death of over 500 and ask you to join me in observing a moment of silence and,negative
284,8/1/2020 17:43,34 and all the warning because of course COVID19 is all a hoax ; or wearing a mask my,negative
285,8/2/2020 21:44,340 new were in and Brown County today The rest of WI 582 new of,negative
286,8/7/2020 13:02,340B to continue providing care to their regardless of ability to pay during,negative
287,8/6/2020 16:10,36 new COVID19 in County and 1 new death are 4713 and 80 7day positivity rate is fairly s,negative
288,8/10/2020 15:34,36 % of college are very worried about the if they return to campus and older stud,negative
289,8/18/2020 16:14,37 44 COVID19 are on a ventilator 10 COVID19 are on extracorporeal membrane,negative
290,7/29/2020 16:05,37 46 COVID19 are on a ventilator 5 COVID19 are on extracorporeal membrane,negative
291,8/6/2020 16:18,37 46 COVID19 are on a ventilator 9 COVID19 are on extracorporeal membrane,negative
292,7/31/2020 18:13,37 50 COVID19 are on a ventilator 8 COVID19 are on extracorporeal membrane,negative
293,8/22/2020 6:34,37 % of 55 area health were in the explosion and less than 50 % were able to dispense their full se,negative
294,7/26/2020 2:16,3Stocksaday $ 81 now keep an eye for that 50ma weekly break !! It will a big breakout once it If it,negative
295,7/26/2020 2:15,3Stocksaday $ keep an eye for that 50ma weekly break !! It will a big breakout once it If it,neutral
296,8/18/2020 16:49,3Stripes5 Were losing more physically healthy teens from suicide and drug th,negative
297,8/6/2020 15:38,3X County showing similar downward trend in COVID19,negative
298,7/25/2020 3:43,3rdDegreeNet You talking about the academy with a second team pathway to the first team ??? or wearing,positive
299,8/16/2020 3:23,4 Also in New York at have seen promising from medicinal,neutral
300,7/31/2020 18:01,4 COVID 19 Legal You Should Answer COVID19,positive
301,8/18/2020 16:49,4 Common COVID19 That Could Place Your Company At Legal Risk,negative
302,8/8/2020 12:44,4 In the case of this new virus that COVID19 many of the people who have it feel and look fine They h,negative
303,8/1/2020 18:46,4 Major by COVID19 and How to Respond COVID19,negative
304,8/22/2020 2:38,4 New of have been Confirmed in Latah County total now 168 COVID19,negative
305,8/22/2020 2:18,4 New of have been Confirmed in total now 142 COVID19,negative
306,8/30/2020 6:03,4 Not shocking at all that on COVID19 He a Blue Shield health executive to l,negative
307,8/8/2020 12:35,4 Other that arent as wealthy as the for example got 75 % of their while they,negative
308,8/4/2020 3:33,4 Shocking Statistics about the COVID19 rlmtetelestai2 Covid19,negative
309,8/1/2020 17:04,4 days is all it took for COVID19 to rise 39 % in 1 county FOUR DAYS ! And unfortunately it is our,negative
310,8/2/2020 17:35,40 infected with COVID19 on amid scramble to trace Covid19 READ MO,negative
311,8/8/2020 13:00,40 % of believe amid COVID19 user traction revenue growth ; Competition are major,positive
312,7/30/2020 20:13,413 Senator of is speaking about the COVID19,neutral
313,8/1/2020 18:15,42000 $ the Real Number of COVID19 in,negative
314,7/26/2020 5:12,425 million confirmed in US and 149000 due to COVID19 Trump is wit,negative
315,7/30/2020 20:27,426 of is speaking about the COVID19,negative
316,7/31/2020 19:09,4344663 people have COVID19 Source Death watch,negative
317,8/6/2020 16:27,44 Tune in tonight as I chat with Live at 700 Central no account,negative
318,8/1/2020 17:43,44 what the of the disease are ; or ! COVID19 is here to stay through flu season thanks to you ,positive
319,8/2/2020 21:30,45 At 630pm tonight on ' s every on NEWSTALK1010 ' s,negative
320,8/9/2020 4:56,45 ' s greatness other of effective leadership COVID19 COVID,positive
321,8/29/2020 20:43,458 more of COVID19 in today No additional 119 are currently,negative
322,7/27/2020 2:49,45Week gtconway3d I agree totally is COVID19 to kill us for his ego,negative
323,8/16/2020 3:23,45must go ! COVID19,positive
324,7/26/2020 4:17,46 2a survey3 of 60K found living with infected child aged 10 to 19 MORE LIKELY POSITIVE than when,negative
325,8/18/2020 17:20,47 % of US have taken at least one step to protect a senior family member from COVID19,positive
326,7/25/2020 2:51,4AnimalLife 4AnimalLife Even if you ' re young COVID19 can cause severe potentially,negative
327,8/6/2020 15:39,4X Palm Beach County chart of COVID19 442 and 10 Downward trend in,negative
